# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 697 7320 143 90402 18109
p 2 642 7357 161 93692 18440
p 2 627 7342 191 88415 17819
p 2 599 7409 152 92926 18142
p 2 625 7405 130 85775 17801
p 2 617 7335 208 89155 17672
p 2 566 7389 205 83164 17234
p 2 593 7357 210 88217 17497
p 2 558 7407 195 81050 16851
p 2 588 7319 253 83189 16915
p 2 549 7305 306 77960 16316
p 2 580 7323 257 81588 16466
p 2 534 7395 231 74974 16024
p 2 556 7265 339 76372 16000
p 2 581 7299 280 71395 15796
p 2 581 7293 286 73186 15797
p 2 537 7343 280 66740 15307
p 2 626 7177 357 68154 15348
p 2 590 7209 361 63365 14896
p 2 635 7161 364 65045 15016
p 2 553 7242 365 58625 14306
p 2 521 7130 509 59149 13962
p 2 372 7249 539 45188 12248
p 2 0 7153 1007 33567 8910
p 2 0 7154 1006 29842 8051
p 2 0 6856 1304 30634 7751
p 2 0 6916 1244 29851 7679
p 2 0 6736 1424 30982 7520
i 2 8160 0 0 179582 33244
p 2 0 3118 5042 5281 3999
p 2 1539 2877 3744 76204 12083
p 2 0 1638 6522 3591 2673
