# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 18 517 385 7945 895
p 2 0 232 688 735 408
p 2 57 781 82 48075 2082
p 2 0 534 386 2006 752
p 2 41 274 605 15203 862
p 2 4 810 106 36485 1693
p 2 37 597 286 21166 1339
p 2 0 350 570 1226 545
p 2 41 832 47 50037 2096
p 2 0 598 322 2265 843
p 2 11 446 463 21049 1000
p 2 2 837 81 36867 1745
p 2 23 649 248 23808 1339
p 2 0 343 577 1185 540
p 2 83 784 53 59380 2401
p 2 0 576 344 2240 819
p 2 87 347 486 27388 1391
p 2 4 781 135 32764 1623
p 2 87 601 232 29336 1650
p 2 0 362 558 1207 562
p 2 85 786 49 52449 2386
p 2 0 536 384 2098 782
p 2 95 443 382 25362 1503
p 2 3 763 154 34835 1588
p 2 24 640 256 24286 1380
p 2 0 343 577 1273 562
p 2 45 809 66 52345 2197
p 2 0 582 338 2246 828
p 2 180 323 417 29181 1760
p 2 3 739 178 31795 1566
p 2 92 604 224 26205 1728
p 2 0 345 575 1165 553
p 2 84 778 58 50397 2350
p 2 0 535 385 2052 778
p 2 99 331 490 23730 1344
p 2 2 808 110 39657 1769
p 2 44 575 301 15760 1246
p 2 0 309 611 990 501
p 2 23 832 65 45159 2027
p 2 0 581 339 2225 817
p 2 13 261 646 4652 569
p 2 3 848 69 39900 1830
p 2 0 598 322 2750 841
i 2 920 0 0 72257 4823
p 2 0 210 710 429 374
p 2 0 129 791 327 308
p 2 6 527 387 44557 1284
p 2 0 434 486 1788 644
p 2 0 270 650 922 450
p 2 11 477 432 39572 1237
p 2 0 387 533 1810 616
p 2 0 145 775 534 333
p 2 11 446 463 42004 1256
p 2 0 364 556 1797 597
p 2 0 173 747 683 362
p 2 4 446 470 40718 1167
p 2 0 341 579 1628 569
p 2 0 116 804 483 303
p 2 7 431 482 39283 1175
p 2 0 333 587 1628 553
p 2 0 149 771 602 335
p 2 12 431 477 42633 1250
p 2 0 343 577 1670 575
p 2 0 145 775 657 336
p 2 11 418 491 42212 1200
p 2 0 325 595 1633 555
p 2 0 151 769 640 343
p 2 10 425 485 50015 1278
p 2 0 350 570 1759 579
p 2 0 118 802 512 305
p 2 12 435 473 47082 1269
p 2 0 355 565 1741 583
p 2 0 170 750 697 361
p 2 14 450 456 41392 1289
p 2 0 359 561 1793 598
p 2 0 132 788 562 326
p 2 15 462 443 43321 1336
p 2 0 367 553 1740 598
p 2 0 135 785 592 325
p 2 2 442 476 37903 1146
p 2 0 333 587 1593 562
p 2 0 130 790 537 320
p 2 6 419 495 37286 1127
p 2 0 317 603 1537 538
p 2 0 114 806 494 301
p 2 3 470 447 41371 1221
p 2 0 362 558 1748 589
p 2 0 141 779 557 328
p 2 1 447 472 40645 1152
p 2 0 357 563 1791 587
p 2 0 122 798 550 312
p 2 5 451 464 49289 1250
p 2 0 332 588 1601 551
p 2 0 94 826 464 283
p 2 8 437 475 45050 1215
p 2 0 353 567 1726 591
p 2 0 126 794 563 319
p 2 5 430 485 37396 1144
p 2 0 350 570 1717 587
p 2 0 123 797 518 314
p 2 4 423 493 39133 1159
p 2 0 337 583 1669 572
p 2 0 130 790 549 317
p 2 2 436 482 37807 1127
p 2 0 318 602 1573 548
p 2 0 113 807 484 300
p 2 5 419 496 37190 1124
p 2 0 329 591 1657 554
p 2 0 118 802 511 306
p 2 3 427 490 39450 1152
p 2 0 337 583 1670 569
p 2 0 124 796 521 314
p 2 1 418 501 39089 1112
p 2 0 331 589 1706 558
p 2 0 148 772 657 338
p 2 4 442 474 48435 1238
p 2 0 323 597 1613 543
p 2 0 110 810 479 295
p 2 16 442 462 45903 1272
p 2 0 352 568 1712 578
p 2 0 136 784 577 328
p 2 17 461 442 41637 1289
p 2 0 376 544 1879 615
p 2 0 152 768 603 343
p 2 19 627 274 50172 1644
p 2 0 467 453 2066 712
p 2 0 165 755 638 355
p 2 8 661 251 47658 1545
p 2 0 457 463 2019 691
p 2 0 161 759 584 343
p 2 9 658 253 47115 1550
p 2 0 456 464 2056 686
p 2 0 158 762 630 348
p 2 3 474 443 38942 1191
p 2 0 346 574 1647 572
p 2 0 146 774 615 333
p 2 1 460 459 38905 1148
p 2 0 345 575 1623 563
p 2 0 210 710 866 400
p 2 6 438 476 47500 1237
p 2 0 327 593 1593 550
p 2 0 107 813 481 294
p 2 8 427 485 43173 1181
p 2 0 356 564 1761 596
p 2 0 113 807 511 302
